No.,カードの名前,カード名かな,HP,攻撃力,防御力,特攻,特防,素早さ,技１名称,技１説明,技２区分,技２区分コード,技２名称,技２説明,技２区分効果,特殊スキル区分,特殊スキル区分コード,特殊スキル名称,特殊スキル説明,特殊スキル効果,カード種別,京の伝統野菜,京の伝統野菜に準じる野菜,新京野菜,京のブランド産品,カード用写真／画像提供,来歴,特徴,栽培,旬の始まり,旬の終わり
K023,桂うり,かつらうり,130,30,48,26,28,8,うりボンバー,巨体を生かした体当たり！,味方にバフ,MB,完熟芳香,完熟すると甘い香り漂う！,味方の防御力アップ！,パッシブ,PS,奈良漬け,京野菜なのに奈良漬けとはいかに！,3ターンの間、敵全体の攻撃力・特攻-10、防御力・特防+10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,起源について詳しいことは不明ですが、越うりの一種で、大越うりを栽培している中から品質の優れた特に大型のものを選抜して栽培していたと言われています。 また、元和3年（1617）には智仁親王が川遊びやうり見に現在の西京区桂に訪れたと文献にあり、それ以前から栽培されていたと考えられています。,果皮は緑白色で果肉は厚く、頭部、尻部とも太くて肉質は厚く、ち密で甘味と芳香に富みます。漬物にしても形がくずれにくいことから、未熟果が奈良漬の原料として利用されてきました。近年、完熟果の機能性が発見され、製菓原料等としての利用も検討されています。,「京都市特産そ菜保存ほ」として京都市が種子の保存を西京区上桂地区の農家に委託しています。,6月中旬,8月中旬
K024,柊野ささげ,ひらぎのささげ,80,95,20,25,15,35,ささげウイップ,ムチのような体でしばきたおす！,特殊攻撃,SA,巻きつき,長すぎるボディの巻きつき！,,アクティブ,AS,ロングライダー,長さそれは美しさ！,味方全体の特防常に+10,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,現在の北区上賀茂柊野地域特有の作物で、栽培の起源等は文献がなく不明ですが、300年くらい前から栽培されていると考えられています。昔からお盆には必ず仏前に供えたという記録もあり、明治維新以降も多く栽培されていましたが短系のささげが広く栽培されるようになったことから、激減しました。,他のささげより長く、80～90cmになるので、三尺ささげとも言います。葉は濃緑色で葉形はやや長く、毛じ（細かい毛）がありません。,現在1戸のみで栽培されており、「京都市特産そ菜保存ほ」として京都市が種子の保存を北区上賀茂地区の農家に委託しています。,6月上旬,9月下旬
K025,畑菜,はたけな,80,66,41,35,28,20,ひっぱたき菜,身も心も痛い一撃！,特殊攻撃,SA,畑菜からし和え,子供は泣いちゃう刺激！,,パッシブ,PS,菜種油,昔は油をとるために栽培されていたのだ！,次の1ターンの間、敵全体の素早さ+10、防御力・特防-20,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,起源は明らかではありませんが、菜種油用のものが野菜の少ない早春に若菜として利用され、それが改良されてできたのではないかと言われています。,草姿は菜種に類似しますが、葉、柄共に欠刻が大きいことが特徴です。京都では初午の日に食べる伝統があります。,伏見区久我地域で多く生産され、「久我菜」とも呼ばれています。市内各地において昭和30年代までは広く栽培されていましたが現在では減少しています。,11月上旬,3月下旬
K026,京せり,きょうせり,80,36,49,55,30,20,シャッキリアロー,シャキっとした歯ごたえ！,特殊攻撃,SA,セリきざみ,細かくきざんで薬味に最高！,,パッシブ,PS,爽やかな香り,上品な芳香で鋭気を養え！,2ターンの間、味方一体の攻撃力・特攻・素早さ+30、防御力・特防-50,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,"承和5年（838）の文献にせりの栽培が記載されていることからねぎの栽培とともに古く,湧水の多い低湿地の利用として多く栽培されたようです。現在のような湧水栽培が行われたのは約300年前と言われています。",葉の形からとがったものを柳葉、丸味を帯びたものを丸葉と呼んでいます。さらに色や香り、栽培地域によって、京せり、青ぜり、お多福ぜり、山科ぜりに区別されています。,現在下京区西七条、南区久世で栽培されています。,11月中旬,3月上旬
K027,京うど,きょううど,100,56,5,46,30,33,うどスラッシャー,香り高く歯切れよし！,敵にデバフ,EB,うどの大木,でかくなったら食べられない！,敵の防御力ダウン！,アクティブ,AS,独活,止まっているのに動く幻を見せる！,味方全体のパラメータ常に+5,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,江戸時代に現在の伏見区桃山の城下において、地元の農民の知恵と工夫によって生まれた栽培で、在来種が栽培されています。,根株をまんじゅう型に土盛りし軟化するため、茎は白く上がりますが、太短く、室栽培のようにスマートではありません。,伏見区桃山において2戸の栽培があります。,4月上旬,5月下旬
K028,京みょうが,きょうみょうが,80,85,45,30,16,14,ロングみょうがスピア,長ーいボディで串刺し！,敵にデバフ,EB,紅美人,スリムな紅色ボディに見とれろ！,敵の素早さダウン！,パッシブ,PS,誇り高き香り,良い香りで癒されろ！,味方一体のHP+50,ゴールド青,〇,－,－,－,京都市産業観光局農林振興室,江戸時代の終期、現在の伏見区桃山の農民、平兵衛が地下水の湧き出ている傍らに軟白している茗荷を見つけ、これをヒントに地元の豊富な湧水を利用して軟化栽培することを考案したのが始まりとされています。,みょうがの芽の長さ30cm、太さ1～1.5cmくらいのものが出荷されています。茎の色は黄色地に紅を帯びた色で、香りが良いのが特徴です。,伏見区桃山から栽培技術の伝承を受けるため左京区大原で栽培を進めています。,4月上旬,5月下旬
K029,万願寺 甘とう,まんがんじあまとう,90,80,40,40,10,10,とうがらしドリル,尖った先で攻撃する！,味方にバフ,MB,甘い吐息,とうがらしと見せかけて実は甘い！,味方の攻撃力アップ！,パッシブ,PS,とうがらしの王様,これなら子供も怖くない！,3ターンの間、味方一体の攻撃力・特攻+10,シルバー,－,〇,－,－,公益社団法人京のふるさと産品協会,今からおよそ百年前の大正時代、京都府舞鶴市万願寺で生まれた万願寺とうがらしの原種は、地元の住民たちの間で「おいしい」と評判になるも栽培がとてもむずかしく、ごく限られた地域の農家で自家野菜として栽培されるのみでしたが、台木の発見による継木栽培や育種、独自の工夫を加えた土づくりや防除など、産地をあげての努力と熱意の結果、現在では夏の京野菜を代表する一品として全国に出荷されています。,大型で肉厚とはいえタネが少なく食べやすいです。果実はとても柔らかでジューシー、甘みにくわえて独特の風味が味の良さを醸し出します。,JA京都にのくに管内（舞鶴市・綾部市・福知山市）で栽培。,5月中旬,10月下旬
K030,鷹峯とうがらし,たかがみねとうがらし,80,50,45,50,25,20,ホークマウンテンペッパー,鷹のくちばしのような鋭い先で攻撃！,味方にバフ,MB,甘い誘惑,このとうがらしも甘いぜ！,味方の攻撃力アップ！,アクティブ,AS,とうがらしの女王,万願寺が王様なら鷹峯は女王！,味方全体の攻撃力常に＋５,シルバー,－,〇,－,－,京都市産業観光局農林振興室,起源は明らかではありませんが、とうがらし類の栽培の歴史の中で、交雑種が固定されたものと考えられています。鷹峯地区近辺で生産されるとうがらしです。,果は大型で、肩の張りは無く、色は濃緑色をしており辛味はありません。肉厚で皮が薄いことが特長です。,,6月上旬,9月下旬
K031,花菜,はなな,70,60,40,70,20,10,平手打ち,菜っ葉でひっぱたけ！,特殊攻撃,SA,サンシャインフラワー,強い光で敵の目をくらませろ！,,パッシブ,PS,菜の花畑,ピクニック気分でほっこり！,3ターンの間、敵全体の素早さ-5,シルバー,－,〇,－,－,公益社団法人京のふるさと産品協会,原産地は北ヨーロッパ・シベリアで、元来植物油の原料として栽培されていました。明治時代に西洋アブラナが渡来してくるとすぐにそれが主流品種となり、それまで栽培されていた日本在来種は観賞用として栽培されるようになりました。 京都の花菜は、伏見桃山付近で切花用として栽培されていた寒咲なたねを食用に改良したものです。,たんぱく質、食物繊維、ビタミンＣ、カロテン、カルシウム、鉄がとても豊富な緑黄色野菜で、皮膚や粘膜の抵抗力を強めることから、風邪予防、美肌、老化防止、便秘等に効果があります。 濃い緑色で、茎や葉がピンと張り、切り口のみずみずしいものを選びます。,"例年、5月20日ごろに初出荷の時期を迎え、この頃は1キロあたり2,000円を超える高値で市場に出回ります。 出荷先の内訳は、京都市場へ約8割、首都圏へ約1割、その他へ約1割出荷されます。",12月上旬,3月下旬
K032,京てまり,きょうてまり,90,38,38,46,30,28,手まりアタック,手まりをぶっつけろ！,味方にバフ,MB,てまりブロック,鉄壁の手まりガード！,味方の防御力アップ！,パッシブ,PS,深紅の薔薇,普通のミニトマトより赤いぞ！,3ターンの間、味方一体の攻撃力+10,グリーン,－,－,〇,－,京都市産業観光局農林振興室,新京野菜として京都市と京都大学が共同研究により開発,直径5cm前後のトマトで、食味が濃厚で糖度が7～8度と高い、酸味が少ない、苦味の原因となる種が出来ない等の特徴があります。また他のトマトよりビタミンC及びベータカロテンの含有量が多く、栄養的にも優れています。,主に深草で生産出荷され、京都市内を中心に販売されています。受粉しなくても実がなる特性を持ち、冬季ハウスでの無加温栽培が可能です。,4月下旬,11月上旬
K033,京あかね,きょうあかね,110,58,32,30,20,20,トマト砲弾,砲弾型ボディでアタック！,味方にバフ,MB,巨大ミニトマト,ミニなのにでかい！,味方の攻撃力アップ！,アクティブ,AS,濃厚トマトン,濃い味としっかりした肉質！,味方全体の防御力・特防+5,グリーン,－,－,〇,－,京都市産業観光局農林振興室,新京野菜として京都市と京都大学が共同研究により開発,京てまりよりも一回り大きいミディタイプのトマトで、形はやや縦長になります。程よい水分量で味が濃く、しっかりとした肉質を味わえるのが特徴です。また、京てまり同様苦味の原因となる種が出来ません。,主に久我で生産出荷され、京都市内を中心に販売されています。受粉しなくても実がなる特性を持っています。,4月下旬,11月上旬
K034,さやだいこん,さやだいこん,60,93,28,50,15,24,さやマシンガン,次々と発射される大根のさや！,特殊攻撃,SA,大根乱,大根を食べない大根！,,パッシブ,PS,花散る里,花が散った後のさやを食べろ！,次の1ターンの間、敵一体の素早さ0,グリーン,－,－,〇,－,京都市産業観光局農林振興室,原産地は不明ですが、インド北部やタイ北部で栽培されています。,大根の若いさやを食するもので、さやの長さは15cm～20cm程度。根部はあまり肥大せず、食用ではありません。歯切れが良く、大根特有のピリッとした辛味があります。,左京区,4月上旬,11月下旬
K035,京唐菜,きょうとうな,80,54,6,95,9,26,唐菜しばき,葉っぱでしばけ！,特殊攻撃,SA,ペッパーリーフ,食べよ葉っぱのとうがらし！,,パッシブ,PS,フェイクニュース,唐辛子なのに菜っぱ！,次の1ターンの間、味方一体の素早さ+20,グリーン,－,－,〇,－,京都市産業観光局農林振興室,葉と茎を食べるために改良されたとうがらしで、果実は食用としません。,普通のとうがらしに比べ茎の部分も軟らかく、熱を加えると苦味とえぐみが消えます。ビタミンCやカルシウムが豊富で、夏場に不足しがちな葉物野菜として利用できます。,収穫期が長く、6月から11月にかけて何度も収穫が可能です。京都市内を中心に販売されており、主に京北地域と嵯峨で生産出荷されています。,6月上旬,9月下旬
K036,京の花街みょうが,きょうのはなまちみょうが,90,35,35,68,20,22,みょうがドリル,みょうがドリルで穴だらけ！,敵にデバフ,EB,刺激的な味わい,強い刺激で敵を泣かせろ！,敵の攻撃力ダウン！,アクティブ,AS,ビッグミョーガ,普通のみょうがよりでかい！,敵全体の攻撃力・特攻常に-5,グリーン,－,－,〇,－,京都市産業観光局農林振興室,新京野菜として京都市と京都大学が共同研究により開発,花穂を食用とする花みょうがで、晩夏から初秋にかけて収穫されます。通常のみょうがに比べて大きく、また紅色の発色が良く香りも良いため、みょうが寿司にも重宝されています。,主に大原野地域と京北地域で生産出荷され、9月から10月にかけて京都市内を中心に販売されています。,9月中旬,10月中旬
K037,京ラフラン,きょうらふらん,90,63,44,30,24,19,ダブルスラッシュ,大根＆キャベツのダブル攻撃！,味方にバフ,MB,豊富栄養,ビタミンやカルシウムで元気一杯！,味方の素早さアップ！,パッシブ,PS,免疫力強化,病気に強い新京野菜！,味方一体のHP+30,グリーン,－,－,〇,－,京都市産業観光局農林振興室,生でかじると大根のようで、ゆでるとキャベツのような甘みがある、属間雑種（だいこんとキャベツ・コールラビ）により生まれた新しい野菜です。,花蕾、葉、茎を食用とします。栄養価は、ほうれんそうと比べカルシウムが1.7倍、ビタミンB6が1.8倍、総ビタミンCが2.9倍含まれています。,主に京北地域で生産出荷され、3月下旬から5月にかけて京都市内を中心に販売されています。,3月中旬,5月中旬
K038,京北子宝いも,けいほくこだからいも,110,85,25,45,3,2,子宝ボンバー,子芋がいっぱい！,特殊攻撃,SA,強化トロミ,普通の里芋より強いとろみ！,,パッシブ,PS,京北の風,京北よいとこ一度はおいで！,次の1ターンの間、味方一体の攻撃力+30,グリーン,－,－,〇,－,京都市産業観光局農林振興室,里芋の突然変異株で、芋のなり方と京北地域の過疎防止の願いを込めて公募で命名されました。,従来品種より子芋が密集して着き親芋もやわらかい、とろみ成分が多くて美味しい、調理する際に手がかゆくなりにくい等の特徴があります。,京北地区初の産地限定ブランド農産物として生産出荷され、10月から11月にかけて京都市内を中心に販売されています。,10月上旬,11月下旬
K039,金時にんじん,きんときにんじん,90,80,20,50,12,18,にんじんドリル,回転しながら土を掘れ！,敵にデバフ,EB,紅の輝き,強い赤味で敵を威嚇する！,敵の攻撃力ダウン！,アクティブ,AS,坂田金時,熊にまたがれ！,味方全体の攻撃力・特攻+3,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,にんじんはアフガニスタンが原産で10世紀頃中近東に伝わり、これより東に伝わったものが東洋系（金時にんじん等）で西に伝わったものが西洋系（西洋にんじん）となりました。金時にんじんは16世紀末（江戸時代初期）に中国から日本へ伝えられたとされています。根が長く収穫しにくいということから、扱いやすい西洋にんじんに次第に追われて1970年以降は激減しています。,根が長く赤色系が多くて肉質が緻密で軟らかいのが特徴。甘味が強くてカロテンを含まないためにんじん臭が少なく風味がよい。収量が少なく割れが生じやすい、とう立ちが早いことなどが、栽培上の課題です。金時にんじんの赤みはカロテンではなく、トマトと同じリコピンという色素で、活性酸素を除去して生活習慣病の予防に役立ちます。,関西地域で主に栽培されており、京にんじんとも呼ばれています。 京都市内では南区の上鳥羽が主な産地ですが、振売や直売用に北区や左京区でも高品質のものが栽培されています。,10月下旬,2月中旬
K040,京 夏ずきん,きょう なつずきん,80,40,41,66,30,13,枝豆マシンガンＡ,止まらないうまさ！,味方にバフ,MB,ずきんヘルム,ずきんをかぶって防御！,味方の防御力アップ！,パッシブ,PS,丹波黒大豆,俺様は丹波黒大豆の枝豆なのだ！,2ターンの間、味方一体の素早さ+10,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,おいしくて栄養価の高い丹波黒大豆枝豆を盛夏期にも味わっていただけるよう、京都府が育成した品種で、平成24年3月に京のブランド産品に認定されています。,「京 夏ずきん」は、京のブランド産品「紫ずきん」と同様、一般の枝豆に比べ粒が極めて大きく、食べたときのモチモチした食感と濃い甘味が最大の特徴の黒大豆枝豆です。「紫ずきん」よりも早く、夏場に出荷できるよう京都府が育成した品種で、「紫ずきん」同様、良質のタンパク質をはじめビタミンCやカルシウムなどを豊富に含んでいます。,主に丹波、亀岡、久美浜、峰山、八木、園部、京北、瑞穂、和知、福知山で栽培されています。,8月上旬,8月下旬
K041,紫ずきん,むらさきずきん,90,63,35,60,1,21,枝豆マシンガンＢ,やめられないうまさ！,特殊攻撃,SA,紫の誘惑,豆の薄皮のうす紫に萌えろ！,,パッシブ,PS,丹波黒大豆,俺様も最高級品質の枝豆だ！,2ターンの間、味方一体の攻撃力＋10,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,丹波黒大豆を品種改良して生ま丹波黒大豆は、おせち料理の黒豆の煮豆として有名ですが、収穫時期が遅いので年の瀬に間に合わせるため、栽培農家は収穫、乾燥、脱殻、選別に大忙しとなります。そこで、もっと早く収穫できる丹波黒大豆の品種が望まれ、京都府農業総合研究所が品種改良に取組み、早くから莢が太る系統を生み出しました。その内の一つで、煮物用ではなく枝豆用にと完成させて平成7年に品種登録したのが紫ずきんです。,莢や粒が極めて大きく、食べた時のムチムチとした食感と濃い甘味とコクが大きな特徴です。,紫ずきんは定植から収穫までの期間が短く、他の野菜と並行して栽培できるという利点がありますが、その反面、期間中の作業はマルチかけや支柱立て、テープ張り、除草など多岐にわたります。中でも病害虫の適期防除は、虫食いが少しでもあれば商品価値はなくなってしまうため特に注意が必要です。農薬も散布だけでは効果が弱いため、三頭口ホースを使いながら一株一株に行わなければいけません。,9月中旬,10月上旬
K042,京こかぶ,きょうこかぶ,100,37,37,65,5,26,かぶ頭突き,小さくてもかなり痛い！,特殊攻撃,SA,純白の肌,きめ細かな白肌に萌えろ！,,アクティブ,AS,スタイル抜群,かぶらしい美しいフォルム！,味方全体の防御力・特防常に+3,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,持統帝7年（693年）には、五穀（主食）を補う作物として栽培が奨励されたとされています。京こかぶの産地である京都市右京区京北地域は、総面積の93%を森林が占める豊かな自然に恵まれた山あいに位置しています。冷涼で昼夜の気温差が大きいことから京こかぶの栽培に適しており、約40年前より生産に取り組んでいます。平成19年には、「京のブランド産品」に認証されました。,真っ白な肌と鮮やかな葉のコントラストが美しい京こかぶは、緻密な肉質が生み出す繊細な甘味が特長で、根だけでなく葉もいただけるおいしいかぶらです。カブの根や葉にはビタミンA、B2、C、カルシウム、鉄、食物繊維が多く含まれています。また、根にはデンプン分解酵素のジアスターゼが多く含まれ、胃腸の働きを助けます。,土壌を良好に保つため、播種20日前に、苦土石灰と堆肥を全面散布し、あらかじめ深めに耕します。これは、土壌の酸度を矯正するためと、保水排水、肥料持ちをよくするためです。播種当日、BMようりん・CDU燐加安・油粕を施し畝幅150㎝の畝立をします。できるだけ平坦なまき床に仕上げるのが、生育をそろえるコツになります。,5月上旬,7月下旬
K043,やまのいも,やまのいも,120,50,10,60,30,0,いもクロス,クロスカウンター炸裂！,味方にバフ,MB,最強の粘り,粘って粘ってねばりぬけ！,味方の防御力アップ！,パッシブ,PS,滋養強壮,ヘルシー野菜の代表格！,次の1ターンの間、味方の攻撃力+10,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,個人での栽培の歴史は明治初期にまでさかのぼります。その後、昭和30年代に宮津市根菜部会が発足し、本格的な共同出荷が始まりました。,水分が少なく粘度が非常に高いのが特徴です。この粘質物は糖タンパク質で、血糖値の上昇をゆるやかにし、過剰に摂った物質を吸着させ排泄させます。芋の中では、麦とろなどの様に珍しく生食されますが、やまのいもは酵素（アミラーゼ等）が多く含まれるので、でんぷんは消化されると言われています。また、タンパク質、各種ミネラル、食物繊維が多く、葉酸、ビタミンCが少ないのが特徴です。この特有の成分特性のため、昔から漢方では山薬と呼び、滋養強壮作用のある植物性の生薬として用いられてきました。,古くから京都府の北部、宮津市の栗田地域で栽培されてきました。,11月上旬,1月下旬
K044,京丹波大黒本しめじ,きょうたんばだいこくほんしめじ,100,38,36,47,27,22,バッティングしめじ,しめじでディープインパクト！,特殊攻撃,SA,幻のキノコ,珍しすぎる野生の本しめじ！,,パッシブ,PS,本物の誇り,ブナシメジじゃない本しめじ！,敵一体の行動を一回休み　この野菜の行動も一回休み,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,京丹波町やタカラバイオ、今日丹波森林組合による第三セクター　瑞穂農林株式会社により、工場で人工栽培されています。,「香り松茸、味しめじ」といわれるように旨味成分が多く、料亭などで京料理の食材にも使われています。,技術的に人工栽培が非常に難しく、この工場でしか人工栽培は行われていない希少なこのうこです。,1月上旬,12月下旬
K045,京たんご梨,きょうたんごなし,110,60,30,30,20,20,なしクリティカル,なしの強烈な一撃！,敵にデバフ,EB,光センサー,光センサーで甘みを測定！,敵の素早さダウン！,アクティブ,AS,丹後の逸品,丹後地域の豊かな自然！,味方の防御力・特防常に+3,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,丹後の梨栽培の歴史は古く、明治時代から。爽やかな甘みが持ち味の二十世紀系品種です。,爽やかな甘みが持ち味の二十世紀系品種です。一つひとつを糖度センサーで測って、一定以上の糖度のあるものだけを、ブランド産品として認証しています。,京たんご梨は、京都府北部にある丹後半島で栽培されている梨で、海に面した丹後半島の澄んだ空気、清らかな水、ふりそそぐ太陽のもとで大切に育てられています。,8月下旬,9月下旬
K046,京たんごメロン,きょうたんごめろん,130,65,15,50,5,5,メロンハンマー,遠心力で攻撃力アップ！,敵にデバフ,EB,最高級,最高のブランドを称えよ！,敵の攻撃力ダウン！,パッシブ,PS,京丹後の誇り,フルーツの名産、京丹後市！,3ターンの間、敵全体の素早さを-3,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,｢京たんごメロン｣は、この京丹後市で栽培されている中でも最高級のメロンです。,濃厚な甘みと芳醇な香りが、｢京たんごメロン｣の特徴です。,海に面した京丹後市は、おいしいフルーツがとれる産地であり、初夏から秋にかけて、メロンもたくさん栽培されています。,7月上旬,8月中旬
K047,丹波くり,たんばくり,100,48,38,41,26,17,マロンニードル,栗のイガイガを連射！,味方にバフ,MB,鬼皮,栗の鬼皮が鎧と化す！,味方の防御力アップ！,パッシブ,PS,丹波の伝統,丹波の栗は歴史を刻む！,2ターンの間、味方一体の防御力+10,ブラウン,－,－,－,〇,公益社団法人京のふるさと産品協会,丹波の栗は古くから献上物として都に運ばれるとともに、江戸時代には年貢米の替わりとしても上納されてきました。,丹波地方での大果系の栗栽培の長い歴史と寒暖差のある栽培風土を踏まえた、少なくとも平安時代、場合によってはそれよりも古くから存在する、おそらく日本最古の地域ブランド作物名称である。,丹波栗は生産者の研究心も高く、時代時代に品種の選定や熱心な栽培技術の改良がなされてきた、農家の努力と丹波の風土・気象条件が生み出した京の逸品なのです。,10月中旬,11月上旬
